Table de symboles « .symtab » contient 120 entrées:
   Num:    Valeur Tail Type    Lien   Vis      Ndx Nom
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00000000     0 SECTION LOCAL  DEFAULT    1 
     2: 00000000     0 SECTION LOCAL  DEFAULT    3 
     3: 00000000     0 SECTION LOCAL  DEFAULT    4 
     4: 00000000     0 SECTION LOCAL  DEFAULT    5 
     5: 00000000     0 NOTYPE  LOCAL  DEFAULT    5 $t
     6: 0000000c     0 NOTYPE  LOCAL  DEFAULT    5 LoopCopyDataInit
     7: 00000004     0 NOTYPE  LOCAL  DEFAULT    5 CopyDataInit
     8: 00000020     0 NOTYPE  LOCAL  DEFAULT    5 LoopFillZerobss
     9: 0000001a     0 NOTYPE  LOCAL  DEFAULT    5 FillZerobss
    10: 00000000     0 SECTION LOCAL  DEFAULT    7 
    11: 00000000     0 NOTYPE  LOCAL  DEFAULT    7 Infinite_Loop
    12: 00000000     0 NOTYPE  LOCAL  DEFAULT    7 $t
    13: 00000000     0 SECTION LOCAL  DEFAULT    8 
    14: 00000034     0 NOTYPE  LOCAL  DEFAULT    5 $d
    15: 00000000     0 NOTYPE  LOCAL  DEFAULT    1 $d
    16: 00000000     0 SECTION LOCAL  DEFAULT   10 
    17: 00000000     0 OBJECT  GLOBAL DEFAULT    8 g_pfnVectors
    18: 00000000     2 NOTYPE  GLOBAL DEFAULT    7 Default_Handler
    19: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND _sidata
    20: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND _sdata
    21: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND _edata
    22: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND _sbss
    23: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND _ebss
    24: 00000001    52 FUNC    WEAK   DEFAULT    5 Reset_Handler
    25: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND SystemInit
    26: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND __libc_init_array
    27: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND main
    28: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND _estack
    29: 00000001     2 FUNC    WEAK   DEFAULT    7 NMI_Handler
    30: 00000001     2 FUNC    WEAK   DEFAULT    7 HardFault_Handler
    31: 00000001     2 FUNC    WEAK   DEFAULT    7 MemManage_Handler
    32: 00000001     2 FUNC    WEAK   DEFAULT    7 BusFault_Handler
    33: 00000001     2 FUNC    WEAK   DEFAULT    7 UsageFault_Handler
    34: 00000001     2 FUNC    WEAK   DEFAULT    7 SVC_Handler
    35: 00000001     2 FUNC    WEAK   DEFAULT    7 DebugMon_Handler
    36: 00000001     2 FUNC    WEAK   DEFAULT    7 PendSV_Handler
    37: 00000001     2 FUNC    WEAK   DEFAULT    7 SysTick_Handler
    38: 00000001     2 FUNC    WEAK   DEFAULT    7 WWDG_IRQHandler
    39: 00000001     2 FUNC    WEAK   DEFAULT    7 PVD_IRQHandler
